typo,id_station,lat,lon,code_insee,code_postal
station meteo,000J0,43.39318,6.31474,83073,83340
station meteo,000J4,43.902778,5.052222,84054,84800
station meteo,000J6,43.20285,5.77642,83035,83330
station meteo,000J8,43.34762,3.21899,34032,34500
station meteo,000J9,49.0161,3.4004,02554,02400
station meteo,000K0,46.25484,5.21567,01451,01440
station meteo,000K1,45.61813,5.23546,38193,38080
station meteo,000K2,43.9219,5.0511,84054,84800
station meteo,000K4,48.76667,7.26667,57540,57370
station meteo,000K5,45.80791,6.49803,73262,73590
station meteo,000K6,50.19932,4.15197,59306,59740
station meteo,000K7,44.64409,6.2,05149,05260
station meteo,000L1,45.175,2.7,15049,15400
station meteo,000L2,43.52318,0.76349,32412,32450
station meteo,000P7,48.95,2.25,95018,95100
station meteo,000Q3,42.69764,2.89541,66136,66000
station meteo,000L3,43.95501,4.92548,84119,84450
station meteo,000L4,43.3443,5.5725,13086,13360
station meteo,000L5,43.80011,3.87234,34322,34270
station meteo,000L7,43.6845083544836,3.58652114868164,34010,34150
station meteo,000L9,45.794722,0.029167,16148,16170
station meteo,000M2,44.95601,4.91023,26058,26500
station meteo,000M3,60.826,-135.2,nan,nan
station meteo,000M4,47.061466,0.889194,37078,37240
station meteo,000M6,45.74486,-1.126,17021,17530
station meteo,000M7,47.65713,-2.86398,56164,56880
station meteo,000M8,43.47828749302741,5.844013094902039,83116,83470
station meteo,000M9,43.141322,5.811918,83123,83110
station meteo,000Q7,46.11539,-0.93689,17003,17290
station meteo,000N3,44.72836,5.02722,26108,26400
station meteo,000N4,46.74004,-1.60834,85003,85190
station meteo,000N6,43.3720281466243,5.78436613082886,83087,83860
station meteo,000N5,42.632,9.342,2B185,20232
station meteo,000N9,46.887261,-1.009414,85109,85500
station meteo,000O2,48.13339,3.4851,89066,89320
station meteo,000O3,47.25,-2.16667,44154,44250
station meteo,000O4,45.5,2.23333,19180,19200
station meteo,000O5,45.58662,4.01469,42012,42600
station meteo,000O7,45.424,4.067,42204,42380
station meteo,000O8,43.68333,3.83333,34247,34980
station meteo,000O9,44.65498,5.41489,26262,26310
station meteo,000P1,46.06194,1.89812,23118,23150
station meteo,000P2,47.24878,6.01815,25056,25000
station meteo,000P4,46.03951,3.60768,03113,03250
station meteo,000P6,48.20608,-0.82601,53225,53240
station meteo,000P8,48.98994,1.79292,78314,78440
station meteo,000P9,46.82941,-0.88298,85090,85700
station meteo,000Q2,47.8413,-3.3593,56040,56620
station meteo,000Q4,44.385771176034,3.8749374389648,48116,48220
station meteo,000Q6,46.71898,-1.45462,85155,85000
station meteo,000Q8,43.5996765,2.2331524,81065,81100
station meteo,000Q9,43.50611,5.73452,83097,83910
station meteo,000R1,47.270676,3.902878,58037,58140
station meteo,000R2,44.10429,6.23191,04070,04000
station meteo,000R3,48.07346,6.87787,88196,88400
station meteo,000R4,43.57765,2.27784,81130,81090
station meteo,000R5,50.9680683,2.440555555555556,59067,59380
station meteo,000R6,45.283333,6.35,73248,73300
station meteo,000S0,42.87191,-0.00322,65295,65120
station meteo,000S1,47.881718,7.093058,68106,68760
station meteo,000S4,49.5386,4.5367,08428,08270
station meteo,000S2,50.89326,1.83126,62769,62185
station meteo,000S3,46.97478,0.60484,86183,86220
station meteo,000S6,48.27787,2.80204,77473,77710
station meteo,000S7,45.51209,-0.06969,16177,16120
station meteo,STATIC0313,44.9142,0.547139,24345,24140
station meteo,000S8,47.904363,7.102187,68229,68530
station meteo,000S9,46.83455,6.39953,25254,25300
station meteo,000T0,45.1,5.57,38205,38250
station meteo,000T1,46.3155,-0.36844,79355,79230
station meteo,000T3,47.925547,7.119471,68178,68610
station meteo,000T5,49.31887,6.09025,57647,57290
station meteo,000T6,47.1397,3.03403,58155,58400
station meteo,000T9,44.53704,1.47274,46156,46090
station meteo,000T8,48.046111,6.406667,88530,88220
station meteo,000U0,49.13369,2.35551,95026,95270
station meteo,000U1,44.7381,-0.16254,33175,33760
station meteo,000QU,45.29351,5.33742,38060,38590
station meteo,000U2,44.89348,6.6268,05109,05100
station meteo,000U3,45.30234,4.27561,43177,43140
station meteo,000U4,46.19208,4.69733,69084,69820
station meteo,000U6,44.68143,6.293677,05096,05170
station meteo,000U7,44.9136,5.10945,26232,26120
station meteo,000U8,44.48515,4.68721,07346,07220
station meteo,000U9,43.47183,5.95672,83021,83149
station meteo,000V0,45.78262,5.5725,01190,01680
station meteo,000V2,48.042556,7.002565,88531,88400
station meteo,000V3,48.62877,7.62357,67485,67370
station meteo,000V4,47.01492,-1.1973,85039,85530
