CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
3017;BARRAIS-BUSSOLLES;;ZDS;
3019;BEAULON;;ZDS;
3020;BEAUNE-D'ALLIER;;ZDS;
3021;BEGUES;;ZDS;
3022;BELLENAVES;;ZDS;
3024;BERT;;ZDS;
3025;BESSAY-SUR-ALLIER;;ZDS;
3027;BEZENET;;ZDS;
3028;BILLEZOIS;;ZDS;
3031;BIZENEUILLE;;ZDS;
3032;BLOMARD;;ZDS;
3035;LE BOUCHAUD;;ZDS;
3036;BOURBON-L'ARCHAMBAULT;;ZDS;
3037;BRAIZE;;ZDS;
3040;BRESSOLLES;;ZDS;
3041;LE BRETHON;;ZDS;
3042;LE BREUIL;M;ZDS;
3045;BUSSET;M;;
3046;BUXIERES-LES-MINES;;ZDS;
3047;LA CELLE;;ZDS;
3048;CERILLY;;ZDS;
3050;LA CHABANNE;M;;
3051;CHAMBERAT;;ZDS;
3052;CHAMBLET;;ZDS;
3053;CHANTELLE;;ZDS;
3054;CHAPEAU;;ZDS;
3055;LA CHAPELAUDE;;ZDS;
3056;LA CHAPELLE;M;;
3057;LA CHAPELLE-AUX-CHASSES;;ZDS;
3058;CHAPPES;;ZDS;
3063;CHASSENARD;;ZDS;
3064;CHATEAU-SUR-ALLIER;;ZDS;
3066;CHATEL-MONTAGNE;M;;
3067;CHATELPERRON;;ZDS;
3068;CHATELUS;M;ZDS;
3069;CHATILLON;;ZDS;
3070;CHAVENON;;ZDS;
3072;CHAZEMAIS;;ZDS;
3074;CHEVAGNES;;ZDS;
3075;CHEZELLE;;ZDS;
3076;CHEZY;;ZDS;
3077;CHIRAT-L'EGLISE;;ZDS;
3078;CHOUVIGNY;M;;
3081;COLOMBIER;;ZDS;
3082;COMMENTRY;;ZDS;
3084;COSNE-D'ALLIER;;ZDS;
3085;COULANDON;;ZDS;
3086;COULANGES;;ZDS;
3087;COULEUVRE;;ZDS;
3088;COURCAIS;;ZDS;
3089;COUTANSOUZE;;ZDS;
3090;COUZON;;ZDS;
3092;CRESSANGES;;ZDS;
3095;CUSSET;M;;
3096;DENEUILLE-LES-CHANTELLE;;ZDS;
3097;DENEUILLE-LES-MINES;;ZDS;
3098;DESERTINES;;ZDS;
3099;DEUX-CHAISES;;ZDS;
3100;DIOU;;ZDS;
3101;DOMERAT;;ZDS;
3102;DOMPIERRE-SUR-BESBRE;;ZDS;
3103;LE DONJON;;ZDS;
3104;DOYET;;ZDS;
3105;DROITURIER;;ZDS;
3106;DURDAT-LAREQUILLE;;ZDS;
3107;EBREUIL;;ZDS;
3108;ECHASSIERES;M;;
3111;ESTIVAREILLES;;ZDS;
3113;FERRIERES-SUR-SICHON;M;;
3115;FLEURIEL;;ZDS;
3117;FRANCHESSE;;ZDS;
3118;GANNAT;;ZDS;
3119;GANNAY-SUR-LOIRE;;ZDS;
3120;GARNAT-SUR-ENGIEVRE;;ZDS;
3121;GENNETINES;;ZDS;
3122;GIPCY;;ZDS;
3124;GOUISE;;ZDS;
3125;LA GUILLERMIE;M;;
3127;HERISSON;;ZDS;
3128;HURIEL;;ZDS;
3129;HYDS;;ZDS;
3130;ISLE-ET-BARDAIS;;ZDS;
3131;ISSERPENT;;ZDS;
3132;JALIGNY-SUR-BESBRE;;ZDS;
3134;LAFELINE;;ZDS;
3135;LALIZOLLE;M;;
3136;LAMAIDS;;ZDS;
3138;LAPALISSE;;ZDS;
3139;LAPRUGNE;M;;
3140;LAVAULT-SAINTE-ANNE;;ZDS;
3141;LAVOINE;M;;
3142;LENAX;;ZDS;
3143;LETELON;;ZDS;
3144;LIERNOLLES;;ZDS;
3145;LIGNEROLLES;;ZDS;
3146;LIMOISE;;ZDS;
3147;LODDES;;ZDS;
